case00,1,2,3,4,1,0,0,0.024,0.026,PASS,0.000000,1,ade672570ede4e3d
case01,1,16,256,64,1,0,0,0.035,0.038,PASS,0.000000,1,1046cc9bd43582d7
case02,1,100,100,100,1,0,0,0.201,0.205,PASS,0.000000,1,69eed9bf493a6294
case03,4,128,512,256,2,1,1,0.044,0.047,PASS,0.000244,1,96422ed9aabf15a4
case04,8,256,1024,512,1,0,1,0.071,0.072,PASS,0.000977,1,e610d4b002811e95
case05,16,64,2048,128,2,1,0,0.056,0.056,PASS,0.000061,1,35f3581cff801c7f
case06,1,1024,4096,512,2,0,1,0.098,0.099,PASS,0.005859,1,dc662950a36d636b
case07,1,512,4100,256,2,0,1,0.076,0.081,PASS,0.000977,1,1534ce1dd53d7658
case08,1,2048,8192,1024,1,0,0,0.411,0.412,PASS,0.007812,1,f8c84dd3a8171002
case09,1,4096,4096,4096,1,0,0,0.923,0.925,PASS,0.000000,1,afa2434c71ce7b80
case10,1,8192,8192,2048,2,1,1,2.357,2.364,PASS,0.218750,1,8955e3305b7e900b
case11,1,8192,8192,8192,1,1,0,9.106,9.158,PASS,0.000000,1,acff6d7d1ac46318
case12,1,8191,8191,512,2,0,0,1.379,1.383,PASS,0.015625,1,2421df71e54e2629
case13,1,4096,100,2048,1,0,1,0.114,0.117,PASS,0.000000,1,ecc2d54663630013
case14,1,33,8192,128,2,1,0,0.094,0.097,PASS,0.000000,1,34e8624b70c5d231
case15,2,2048,2048,2048,1,1,1,0.305,0.307,PASS,0.015625,1,b699558023891271
case16,1,1024,1024,4096,2,0,0,0.099,0.102,PASS,0.000000,1,e2f1200c4289b098
case17,32,256,256,256,1,0,1,0.065,0.068,PASS,0.000732,1,f4961c58c2b29534
case18,1,16,16,16,2,1,1,0.036,0.036,PASS,0.000000,1,7e13cc0abcd04226
case19,1,5000,5000,96,1,1,0,0.354,0.358,PASS,0.000000,1,3514a9fac64642e6
case20,64,8192,8192,32,1,0,0,16.362,16.404,FAIL,935.464844,0,a4a598c891256a71
case21,64,8192,8192,32,2,1,1,16.342,16.353,FAIL,921.117188,0,55627d4350326d03
case22,32,8192,8192,32,1,0,1,8.561,8.614,FAIL,948.906250,0,e94e78ded8993912
case23,64,8192,4096,32,2,1,0,8.352,8.356,FAIL,967.871094,0,fdf678500fbc7b73
case24,16,8192,8192,32,1,0,0,4.766,4.815,FAIL,935.769531,0,2abbdf0689cb7a3d
case25,64,8192,8192,64,1,0,0,17.423,17.447,FAIL,1371.554688,0,a6efa78a76413f0e
case26,64,8192,8192,128,2,1,1,17.534,17.542,FAIL,1958.117188,0,83f83abb2e1475b7
case27,8,8192,8192,128,1,0,0,3.115,3.126,FAIL,1931.578125,0,aab964e7212d6dbb
case28,1,100,100,32,1,0,0,0.211,0.212,PASS,0.000000,1,e45d63cba133fe06
case30,1,16,16,16,1,0,0,0.029,0.030,PASS,0.000000,1,ee2911911ae5e063
case45,1,512,512,512,1,0,0,0.051,0.061,PASS,0.000977,1,3dcbdecc6e9da6bd
case46,1,256,256,256,1,0,0,0.038,0.039,PASS,0.000000,1,a23d499b39822488
case47,1,1024,512,512,2,0,0,0.047,0.049,PASS,0.003906,1,1a0fc5919b173d06
case48,2,512,512,512,1,0,0,0.047,0.048,PASS,0.000000,1,056db903b007c3fd
case49,1,2048,1024,256,1,0,0,0.066,0.067,PASS,0.000000,1,ff18454be4218d79
case50,1,1024,128,1024,2,0,1,0.041,0.041,PASS,0.005859,1,834663cb69b27980
case51,1,4096,4096,2048,1,0,0,0.524,0.532,FAIL,30.078125,0,cda29e9baf36fb55
